1226	84
1211	190
1114	397
863	25
757	105
707	387
564	481
490	28
475	190 397
421	67
414	36
385	188
377	479
376	60
317	234
278	150
267	82
260	317
228	390
228	255
224	88
218	0
218	122
211	610
210	418
182	382
181	764
180	590
177	621
173	387 84
173	294
170	255 28
165	376
164	250
160	96
160	676
157	191
157	105 190
156	183
155	591
155	25 397
148	767
147	105 397
141	397 481
139	443
138	149
136	193
131	784
127	395
123	11
122	387 764
121	893
120	34
119	204
117	467
117	82 84
116	286
115	26
114	625
113	490
112	211
111	38
110	416
109	25 84
108	276
107	784 84
106	982
106	524
105	105 25
104	36 84
104	389
104	35
102	1076
100	190 25
