1713	317
1163	38
1040	390
767	105
637	448
567	441
528	66
508	473
458	389
382	194
380	563
327	338
313	317 448
295	298
290	442
286	576
276	105 38
273	25
270	447
260	284
258	474
257	248
245	96
238	374
231	253
222	487
220	60
220	93
213	234
212	425
209	258
206	317 38
199	617
187	716
183	400
173	317 563
166	1835
165	174
165	78
164	339
161	548
159	149
159	745
154	38 66
151	284 298
150	404
147	276
144	317 390
141	400 66
136	282
136	1889
133	934
133	509
132	38 441
128	118
125	330
125	108
125	105 441
124	317 473
120	90
118	418
115	537
113	827
112	390 425
111	453
110	317 389
110	1102
109	2068
108	462
107	194 934
107	1048
106	105 390
105	67
103	3
100	105 317
