1488	6
1050	60
819	67
715	25
582	18
488	323
474	181
463	374
376	362
369	439
339	3
314	248
309	288
299	234
299	479
295	88
284	838
280	543
265	149
255	418
243	98
240	1261
228	118
225	436
222	325
217	164
208	390
204	627
200	134
192	453
186	174
179	244
178	272
176	967
167	1129
165	678
151	66
150	626
149	946
147	6 60
146	323 439
146	164 436
144	177
141	1836
137	496
136	1029
135	40
128	722
126	56
126	116
124	721
123	755
123	288 436
123	299
123	573
121	1026
121	1836 496
120	544
120	60 67
117	164 288
115	164 288 436
115	25 6
113	748
113	424
113	93
113	288 6
113	376
111	336
109	1585
108	18 479
108	481
108	25 67
108	104
107	1908
107	6 67
107	374 838
105	559
105	678 967
105	1043
105	2042
101	374 722
